作者,看板,標題,日期,內容
e781117 (怪物很可愛),fruits,[廣宣] 麻豆自產酪梨,Sat Jul 29 22:23:00 2023,"自己栽種酪梨開始販售
10斤570（含運）
5斤350（含運）

都很漂亮
且寄送當天才會採收喔


https://i.imgur.com/Dl1zDje.jpg
https://i.imgur.com/7kstzNr.jpg
https://i.imgur.com/ZmUeu6d.jpg

可站內信或line I’d:smileyun17
謝謝

"
q943258 (雪國),fruits,[廣宣] 一條龍榴槤蜜,Sat Jul 29 23:54:19 2023,"
家裡自己種的榴槤蜜 品種(一條龍)
味道濃郁 果肉順口滑嫩 甜度很高

https://imgur.com/BUMDkQX
https://imgur.com/RXGk712
https://imgur.com/5GjVQLu
https://imgur.com/xQwGAKl

一斤50元
每顆大約13斤左右

一箱只能裝一顆
黑貓宅急便運送
每箱運費100元

(剖開果肉少於50% 會再補寄一顆)

歡迎站內信聯繫~ 謝謝

"
laigary (lai323),fruits,[廣宣] 大村阿嬤葡萄園 套袋巨峰葡萄,Mon Jun 12 14:10:11 2023,"通過農糧署的農藥檢測，認證是無毒葡萄，想要安心吃到健康又好吃的葡萄嗎？
那你絕對不能錯過阿嬤葡萄園喔～絕對是端午送禮最佳選擇！

［葡萄園介紹］
我們是位在大村葡萄隧道的阿嬤葡萄園，傳承三代人的情感，是一家人溫馨的回憶。自產
自銷的小農，注重用藥安全，堅持等待葡萄自然熟成，讓大家吃到「尚著時」的新鮮葡萄
。

園主阿嬤已經準備的差不多嘍～就等待葡萄成熟時！葡萄都是園主阿嬤當天凌晨到葡萄園
現剪現採收之後立即包裝的唷！保證新鮮又可口！

［臉書粉絲專頁］
https://www.facebook.com/AMaVineyard/
最近被盜用帳號了QQ
之後會創辦新的粉絲專頁，但之前的照片都可以參考QQ


［葡萄照片］
上禮拜日拍的，採收時會更黑更大喔！
https://i.imgur.com/eLQEwjZ.jpg
https://i.imgur.com/uqWLWeC.jpg
https://i.imgur.com/Kbrr3n4.jpg
https://i.imgur.com/TCfwhrU.jpg
https://i.imgur.com/Ry4YM52.jpg
https://i.imgur.com/dbDzQKn.jpg

今年改為禮盒包裝，跟傳統公版的不同，特別設計過的外裝，讓你送禮也拿得出手喔！
https://i.imgur.com/zM07UDB.jpg

［訂購資訊］
大村套袋巨峰葡萄6/14開始採收
每箱含箱重4台斤：380元
黑貓常溫配送：運費160元，四的倍數箱免運費。

舉例：
如果是常溫配送訂購1-3箱，運費$160、常溫配送訂購4箱的話，一樣免運費喔。


［聯絡方式］
可以使用PTT站內信
如果有任何問題也歡迎詢問～

［顧客回饋］
https://i.imgur.com/nHJh6Ek.jpg
https://i.imgur.com/LsCFavF.jpg
https://i.imgur.com/wKADVGR.jpg
https://i.imgur.com/AVdxzOF.jpg
https://i.imgur.com/R0piLlT.jpg

#大村套袋巨峰葡萄 #小農自產自銷 #農糧署認證無毒葡萄 #吃得安心健康

"
threeeightf (九萬),fruits,[廣宣] 玉井農場特色芒果,Tue Jun 13 10:08:59 2023,"感謝大家去年的捧場，今年農場一樣推出惜福品並且優惠給大家

目前農場推出金煌+西施的綜合箱，數量有限唷！

玉井雄讚農場自產各式特色芒果，農場裡至少有10種品項芒果
常見的愛文.金煌.西施.玉文.黑香
特別的貴妃.秋香.蜜煌.水蜜桃愛文.蜜雪...

https://i.imgur.com/KzAbP0U.jpg
享福品金煌箱
https://i.imgur.com/BMZmkFr.jpg
享福品玉文箱

https://i.imgur.com/96KukTZ.jpg
惜福品玉文箱

芒果每箱(不含紙箱、包材)絕對有10斤多，享福品600元、惜福品450元(含運)送到家。同
品項芒果一次訂購兩箱同地址特價享福品1100元、惜福品850元唷！(以此類推)

農場堅持用藥安全，芒果套袋後絕對不再噴藥，所以常常在果園裡發現野兔.山豬.山羌等
野生動物的足跡。但也因為藥少容易造成下雨後雨水如果留進袋中就會讓芒果外表留下水
痕，這些芒果只是皮較醜，裡面的果肉沒有壞

果肉沒有壞
果肉沒有壞
果肉絕對沒有壞
這些表皮不美麗的就稱為格外品或惜福品，甜度一樣很甜而且很大顆，適合自己吃，家人
一起吃

享福品訂購：
https://www.beclass.com/rid=274b1816474c566448c5


惜福品訂購：https://forms.gle/rgoJ61zEeEumpeEp9

"
h520194 (h520194),fruits,[廣宣] 台東 夏雪芒果,Wed Jun 14 09:44:40 2023,"大家好，阿姨自種的夏雪芒果終於來了！

前年在ptt推廣，收到不少版友的稱讚，非常感謝～

台東的夏雪芒果皮薄汁多，
具有土芒果的香氣，
咬下去的瞬間可以吃到厚實的果實還有濃郁的果汁邊吃邊滴超過癮！
同時又有金煌芒果甜度與愛文口感，被譽為”芒果界的LV”

現在購買免運費，夏雪、蜜雪可以混搭

五斤：800元

十斤：1350元

夏雪
https://i.imgur.com/46dvBxa.jpg
https://i.imgur.com/qLAbw90.jpg

蜜雪
https://i.imgur.com/AvPN2yi.jpg
有需要的版友，再麻煩站內信囉，感謝大家的支持

"
ommmmmb (毛蟲小尾巴),fruits,[廣宣] 恆春在欉紅小農芒果 含運費最低500元,Fri Jun 16 23:55:38 2023,"爸爸自己種植的芒果，從阿公那代就流傳下來的老欉芒果！

恆春在欉紅芒果 產地現摘直出

https://reurl.cc/WGGox7

‧面交地點：

恆春 車城可面交
其他地區使用黑貓常溫宅配

‧聯絡方法：

加官方line:@445mlloo
或站內信
或填寫表單

‧預定售價：

皆10斤裝（總足重約11斤，絕不偷斤減兩）

《標準盒裝》
愛文芒果 $800
海頓芒果 $800
綜合芒果（愛文及海頓）$900

《惜福區》
愛文芒果 $500
綜合芒果（愛文及海頓）$600

https://i.imgur.com/GoNU2Oi.jpg
惜福區只是外觀未達送禮標準，表皮偶有黑色區域或是經落山風刮傷表皮，果肉一樣香甜
美味唷

‧其他補充事項

希望大家可以多支持在地小農，我們家只販售自己也敢吃的果物，絕不使用農藥及人工除
草劑、催熟劑。
過熟無法寄出的芒果我們也會留下來自製芒果冰沙、芒果氣泡水，剩下的果皮也會拿去餵
牛，充分利用循環，讓土地種植出來的成品都有充分的利用價值，對環境更友善一些！

https://i.imgur.com/2e5AG2H.jpg
https://i.imgur.com/59S6wfm.jpg

"
yawai (小狐),fruits,[廣宣] 謝家夏雪芒果,Sat Jun 17 21:02:02 2023,"臺灣 夏雪芒果 : (官方介紹)
高雄區農業改良場研發育成芒果新品種「夏雪」，同時擁有土芒果風味和愛文芒果香氣，
福爾摩沙物產國際公司取得農委會專屬授權後，「夏雪」成為台灣第1個有身分證的芒果。
李雪如表示，「夏雪」顏色橙黃，具有開花早、果實成熟期早、果實大、果肉率高等優點
，沒有土芒果的粗纖維，但具土芒果風味，維生素A含量比愛文芒果高出8倍，5月下旬至
6月為採收期。


(親身經歷之後的介紹)

簡單來說就是超大顆土芒果 但沒有那麼多纖維  聞起來非常清香  吃起來不會太甜膩
A級 一盒3公斤(5斤)  售價700元  約6~8顆，精美禮盒裝，果皮漂亮送禮適用

B級 一盒6公斤(10斤) 售價600元  約15-25顆，表皮會有些黑點，但不影響果肉

黑貓寄送  運費一盒130 2盒170 3~4盒210


訂購填單
https://reurl.cc/x76xg5


       更多詳情請見粉絲團專頁

FB粉絲團  https://www.facebook.com/SummersnowMango



面交點在高雄大學附近、右昌周邊

聯絡方式: 電話、臉書粉絲團

電話:
謝媽媽 0910791680  Line: mangochao  負責面交事宜  時間請配合她喔

"
lin999 (lin),fruits,[廣宣] 高雄自種金煌芒果,Tue Jun 20 03:43:12 2023,"高雄內門老家阿公時代留下來的芒果樹，已進入採收尾聲了，大多會小顆一點，但一樣好
吃。歡迎詢問預訂，預計週日會進行採收。

★金煌 單箱10斤 （8～10顆）250元

★玉文 單箱10斤 （8～12顆） 300元

★黑香 單箱10斤 （12～16顆） 520元
（數量不多）


＊10斤/箱運費160元，20斤/箱 運費210元
＊可高雄楠梓自取（現場會送小品種芒果，外皮有黑點NG品，可任挑）
＊購買40斤以上，北高雄可以送到家
＊可任搭，照斤數計價
＊芒果採收後，經3～4天熟成，滋味更香甜，待熟透後才可放入冰箱冷藏
＊意者站內信
＊也可至蝦皮賣場下訂
shopee.tw/yirulin999

https://i.imgur.com/1PlE4Bh.jpg
https://i.imgur.com/MCw4G3E.jpg
https://i.imgur.com/Xg3TfQm.jpg
https://i.imgur.com/FwCjtfv.jpg

※ 編輯: lin999 (111.82.209.147 臺灣), 07/04/2023 00:12:18
※ 編輯: lin999 (111.82.90.112 臺灣), 07/05/2023 18:59:45
※ 編輯: lin999 (111.82.229.45 臺灣), 07/08/2023 22:13:31


"
coolseal (音符 節奏 酒精),fruits,[廣宣] 台南愛文芒果降價了,Tue Jun 20 16:03:42 2023,"果園進入盛產期了 又剛好遇到端午連假

所以降價促銷 目前一箱10斤 16~18粒裝

含運只要400 兩箱特價750  台南嘉義自取的話 一斤25元

有興趣的版友歡迎直接加我line:coolseal訂購

 https://i.imgur.com/Se5d3an.jpg

https://i.imgur.com/95pOvRC.jpg

Ps:最近天氣熱 收到芒果請打開通風 如果香氣四溢

請移到冰箱冷藏保存  有疑問可以直接聯繫我

謝謝版友的支持 有回購的會隨機贈送自製的芒果乾

※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.15.17.131 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/fruits/M.1687248224.A.C4C.html
※ 編輯: coolseal (111.242.97.100 臺灣), 06/27/2023 14:10:43
※ 編輯: coolseal (111.242.97.100 臺灣), 06/28/2023 00:50:30
※ 編輯: coolseal (114.24.118.222 臺灣), 07/08/2023 08:16:17


"
leegirl3310 (MANGO GO GO),fruits,Re: [廣宣] 屏東小農在叢黃 寶媽好芒-愛文芒果,Tue Jun 20 22:16:35 2023,"欲（賣）物品：屏東小農 寶媽好芒-在叢黃 愛文芒果 https://imgur.com/a/io9KWp1
寶媽果園因產期結束即將清園。限時特賣，數量有限，請各位朋友把握最後機會喔。
特惠價
15顆一箱10斤  1箱 含運550
12顆一箱10斤  1箱 含運650

買2箱可折100元(需寄同一住址)

顆數是大約的，但是整體一定有10斤

NG芒果-不定時有略黃較小顆或表面瑕疵或有略黑點
7/3-7/7: NG芒果(只能面交)
                 或是其他正常品都有少量提供均可訂購，請再提早預訂



交易方式：

匯款後需等待排定時間出貨。
高雄鳳山可以面交

相關備註：

意者請站內信給我
也可以直接加我賴，這樣訂購比較快速，line id:wenniefish
■因為都是在叢黃，自然熟成的，每天產量不一定。
■種植過程中，盡可能少使用農藥，也不添加催熟劑，因此表皮不像市場上那樣漂亮，
  也比較不能久放，但是吃起來酸甜味跟芒果香味是一般市面上的芒果所無法比擬的。
■爸媽一起種植芒果已經有幾年，本來只有給親戚朋友吃。
  前幾年爸爸退休後，開始很勤勞種植，希望把這份好味道跟大家一起分享。
■附上往年照片https://imgur.com/a/g4mqCAQ https://imgur.com/a/g4mqCAQ
■每一顆芒果皆品檢外觀無問題才會出貨，但難免因運送過程悶熱、碰撞等原因，
  導致隔日到貨產生黑點、表皮粗糙等現象，請能接受再訂購:)  
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 112.104.1.40 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/fruits/M.1624968965.A.E2D.html
※ 編輯: leegirl3310 (112.104.1.40 臺灣), 06/29/2021 20:19:09
推 chienyaoch: 推 111.251.52.129 07/01 23:50
推 x076235: 幫推、好吃   111.83.69.60 07/03 03:23
※ 編輯: leegirl3310 (112.104.1.102 臺灣), 07/03/2021 04:29:19
※ 編輯: leegirl3310 (36.238.66.67 臺灣), 07/07/2021 14:50:12
※ 編輯: leegirl3310 (112.104.112.216 臺灣), 07/11/2021 11:25:56
※ 編輯: leegirl3310 (36.238.111.41 臺灣), 07/12/2021 17:08:03

"
flowerblosso (木槿),fruits,[廣宣] 自產自銷台農一號(香水芒果),Wed Jun 21 13:06:15 2023,"
大家好，家裡種植的台農一號芒果已經成熟開始採收了。

台農一號芒果，又稱香水芒果，成熟後香氣馥郁，果肉紮實，有淡淡乳香，味道甜美相當
好吃！

https://imgur.com/W9WAcOk
https://imgur.com/iL5aPMF
https://imgur.com/tl8nV3m


價格：一箱10台斤(約24-28顆)，含運費450元，兩箱同地址800元。

歡迎站內信詢問！

"
rockmayu (daruma),fruits,[廣宣] 台南新化自家栽種杉林芒果,Thu Jun 22 16:01:11 2023,"安安各位鄉民好
老家爸媽自己種植的芒果正在大採收~
當年是想說家裡那塊閒置的小農地來種個芒果吃吃好了
結果搞得每年夏天都超忙
再度來幫忙在網路上分攤一點銷售的工作

杉林芒果介紹：
杉林芒果是目前市場上較為少見的品種，果實呈現圓、短狀，在屁股的地方有個尖尖的凸起
，是辨別杉林芒果的最佳方式，也因此杉林芒果有著「美人尖」的別稱。
食用上香氣濃厚、口感細緻、甜度高，歡迎大家買回家吃吃看~~

我們的芒果以10斤為一單位，每單位芒果顆數為13~16顆，
所提到的重量皆不包含包裝材料的重量，計價方式如下:
(1)宅配到府
10斤裝，一箱=750元
20斤裝，一箱=1,400元
(舉例來說若要買20斤，拆成兩箱寄送，無論這兩箱寄送同一地址或不同地址，價格都是750
*2=1,500元；但若要買20斤，裝成一箱寄送，則價格就會是1,400元)

(2)指定地點自取"
jane224482 (SY),fruits,[廣宣] 台南歸仁-紅龍/金蜜/黑香,Sat Jun 24 18:55:15 2023,"大家好，我們是來自台南歸仁的小果農，果園的工作都是謝爸謝媽親力親為，細心照料、
採收每一顆芒果，我們的芒果都是樹上熟成採收（在欉黃），每天數量有限，可先私訊預
購。

‧紅龍 （最近很多人在討論的水蜜桃芒果）
‧金蜜（少量供應）
‧黑香

https://i.imgur.com/VqzZyu9.jpg
https://i.imgur.com/uUDJsPu.jpg
https://i.imgur.com/pOgsrvm.jpg

可任選單一品項也可混搭！
一箱（大約9斤），$600含運


自家栽種外表可能比較不好看(要求完美者訂購前請三思)，但是很好吃喔！


#有興趣的朋友請站內信或加Line : jane224482
#顆數以當天採收果況大小實際為主

"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 大內阿公的酪梨禮盒/開始預購享免運,Mon Jun 26 16:06:11 2023,"2023年萩荍酪梨開放預購，售完為止
「十斤/五斤裝酪梨禮盒」
@ 即日起～至7/5訂購，「十斤裝免運」黑貓宅配至您家
預計國曆7月中開始出貨（視酪梨熟成狀況往前或延後）

@來自大內二溪的酪梨，酪梨品種為紅心圓。
果汁、生菜沙拉指定品種

酪梨富含多種營養素，且易於人體吸收，，營養師最推薦的油脂來源
功效更是多樣
❶降低心血管疾病風險
❷抗組織發炎
❸有益腸道健康
❹補充孕婦、營養不良小孩超好的補充來源

是一種極高CP值的水果

@確保蔬果品質，今年只有黑貓宅配，當日採收隔日寄出到貨
超商取貨暫不提供


訂購方式
加入萩荍Line官方帳號訂購
一鍵加入，馬上服務
https://lin.ee/Bu1bSlw7

私訊官方提供完整食譜喔！
酪梨料理方式多樣選擇，可鹹可甜
超級營養來源

一起迎接酪梨季
搭配出你最愛的酪梨料理吧！


https://i.imgur.com/74g2mHK.jpg

https://i.imgur.com/gxLUBIm.jpg

https://i.imgur.com/P0yhkY0.jpg

https://i.imgur.com/LGBim7U.jpg

https://i.imgur.com/w4JDoMU.jpg

https://i.imgur.com/OMMB5VD.jpg





"
skytempter (培根),fruits,[廣宣] 台東旭橘果園 夏雪芒果,Wed Jun 28 02:37:25 2023,"大家好

我們家是在地小農

目前夏雪芒果已經到產季後期

因為產量大出 所以降價販賣

目前下午可來電現場購買


現場價格為下面價格-100元運費

外縣市寄送為表單價格

0919611262-蘇阿姨

地址 綠色田寮
https://maps.app.goo.gl/FFqLWLnid3Jk6Xkr8?g_st=ic


如果線上購買的話請幫我填單喔

https://forms.gle/PS7q2Jv4DdbGVxhW7

"
trash0309 (林淋淋),fruits,[廣宣] 南投台中 甜蜜蜜鳳梨,Sat Jul  1 09:52:53 2023,"南投 八卦山脈甜蜜蜜鳳梨
友善草生栽培
無農藥無毒鳳梨
試吃推廣銅板價

給小朋友吃安心
保證《幼絲甜》一顆50元

台中市東區自取

數量有限
滑過看過不要錯過
https://i.imgur.com/ogGNwbI.jpg
https://i.imgur.com/sugiZxp.jpg
https://i.imgur.com/Z2tLjjx.jpg

"
UNIEER (UNIEER),fruits,[廣宣] 楠蜜芒果 特有品種，果香迷人,Sat Jul  1 14:04:51 2023,"先感謝這幾年購買的鄉民朋友，

※請注意，產期約3週，購買期間暫定為 即日起 ~ 07/23( 二)

品　　項：楠蜜芒果

甜　　度：17~18度

產　　地：台南市-楠西區

保存方法：建議先常溫放置1~5天並感受它的香氣，再看成熟度分別食用或冷藏，確常保
新鮮口
感

運　　送：黑貓常溫配送(目前僅配送本島，外島運費太貴無法吸收)

價　　格：6公斤/箱 (10斤/箱) (約10~15顆) 650元(含運費，限PTT內詢問購買)

          蝦皮
          https://ppt.cc/fiGmGx

          露天
          https://ppt.cc/fZzYcx
大單優惠：買 11 箱送 1 箱 (限同『地址』與『訂購人』)

　　　　　優惠換算後 1 箱約 600元

備註(1)：新北汐止區暫不供貨（因之前寄送該地區損傷率太高，請見諒）

備註(2)：宅配星期日不送貨

剩餘數量：21 箱 (數量會持續更新)

　　　　　-5 箱 7/2
    　　　-2 箱 7/3
    　　　-1 箱 7/11
    　　　-1 箱 7/13

歡迎詢問

連 絡 人：洪先生
連絡方式：1.電話：0988-357-828
　　　　　2.LINE ID：
unieer
　　　　　3.下方推文留言，我會直接把匯款帳號寄站內信給您

購買流程：連絡 > 確認規格&價格 > 轉帳&確認 > 配合產地出貨(約3~7天)

介　　紹：爸媽在好山好水的台南山區種植，不只是家人吃，還時常分享給親朋好友

　　　　　，吃的安心自然不在話下，雖然家裡也有土芒果，金煌，愛文…等品種

　　　　　，但【楠蜜】肉質細緻，香氣更是迷人，讓人愛它更勝愛文...等其他芒果

　　　　　，還有客人買回去放在室內，當天然芳香劑(沒騙人喔，我現在也都這樣做)

　　　　　，過幾天熟度夠了後再吃掉或冷藏，不過爸媽平日除了在市場賣，一般人

　　　　　要吃到這品種就不容易，所以透過網路，希望讓更多人有機會可以品嚐到

　　　　　到【楠蜜】這品種，但家裡只有爸媽兩個人在採收，所以供貨量還是有限，

　　　　　祝各位有福氣能買到吃到。

備　　註：配送的箱子著重在保護水果，雖然無法像禮盒那麼漂亮，但自產自銷　&

　　　　　產地配送，不必再經過大盤、中盤...等，能以經濟實惠價格回饋給消費者
。

"
